Namn,Alternativt namn,BBR-ID,RAÄ-UUID,Objekttyp,Kommun,Län,Skyddstyp,Wikidata-sökning
Uthus,,B2025:58185,007fe611-f5c7-4130-8361-3600837ca3dc,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58185
Befästningsverk,,B2025:58160,01453c99-c9b1-4c85-8f4c-dbb6d2714ae0,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58160
Sandhamns varv,,B2025:50011,018719a6-eca4-43aa-be95-7a666ea0b271,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50011
Seglarstaden,,B2025:50077,01c66bb2-d8f7-49a3-abf1-534efcbe1937,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50077
,,B2025:49913,01c9dac8-b6e2-4db3-aae0-3ce60c1b2f1d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49913
Arbetarbostad,,B2025:9424,020afda6-43cd-4b83-b8a9-db577343a412,Byggnad,Haninge,Stockholm,Byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:9424
,,B2025:49958,03dd5afe-b13c-49a1-a4c0-ce7cb8a42f65,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49958
Fyrmästarbostad,,B2025:58183,03eb1356-e6f4-4d34-b429-3097772831e7,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58183
Arbetarbostad,,B2025:9420,03f0b476-6622-4d5b-b1f0-3a168d7f196c,Byggnad,Haninge,Stockholm,Byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:9420
,,B2025:49926,03f1061b-5989-424f-832d-135c74df4802,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49926
Klockstapel,,B2025:59287,047e390f-a9c9-454a-936c-a54287480f46,Anläggning,Värmdö,Stockholm,Kyrkligt kulturminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:59287
,,B2025:50051,04d66cb9-a021-40db-b4fe-e9d563e3a69d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50051
,,B2025:49922,04ef5f2d-7278-471d-b2f8-489bc84bfd3b,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49922
,,B2025:49730,081c6d91-7508-43bc-9969-ea965c48d06b,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49730
,,B2025:49976,087925a5-80ce-4cb4-a446-cb98397fe419,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49976
Seglarstaden,,B2025:50076,08c5cbd6-4892-4d46-bb96-4daf2728e475,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50076
,,B2025:50052,09776ea2-5f78-49a9-a596-d80cfc41d2aa,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50052
Seglarstaden,,B2025:50085,0be60d4a-4afc-49b0-b332-8cd36a303b3a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50085
Fyrvaktarbostad,,B2025:58184,0c0919a3-75cc-4252-a94a-09e2b9ae030b,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58184
,,B2025:49969,0c34d0cf-ebd3-4293-a0d2-efb3d050ec75,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49969
,,B2025:49719,0c9e7732-4c11-4f2a-ab07-08b18be17fea,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49719
,,B2025:49520,0cc82ee9-d0aa-47f9-ad99-c42030405de6,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49520
,,B2025:49937,0d685fc2-9f9a-4d15-8f7e-17202fbb4397,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49937
,,B2025:49876,0f1bdfe1-432e-44b9-9d8a-9282bd4c594a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49876
,,B2025:49586,0f2d5009-274c-478f-85a8-280a2ff8beb0,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49586
,,B2025:49917,0f32b5b0-7ec6-4d7d-8b25-8541f27b3702,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49917
,,B2025:49583,0f65ac99-9a87-4e01-806f-e59c470811e3,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49583
Seglarstaden,,B2025:50083,0faa66a7-9926-4439-ac77-4a55dc67a297,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50083
,,B2025:49874,0fc8b98a-bd28-45c4-89e7-1d42b31590a0,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49874
,,B2025:49968,0fe0c1c2-8890-472d-83aa-db7485afbb0c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49968
,,B2025:49701,116eb1d1-2230-4dc2-9bc2-f11fd0536ee4,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49701
Seglarstaden,,B2025:50072,117b1917-3196-4333-884a-c65f8e769149,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50072
,,B2025:49589,11912242-21df-4d23-8e6d-f371e9082fee,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49589
,,B2025:58150,11965a0b-ebd6-423c-b4d7-bd017d4ae48e,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58150
,,B2025:50049,127b16db-c519-4597-a3da-71551815c6ff,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50049
,,B2025:49885,1430f451-3c90-4386-90f5-2fae28961938,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49885
Utö kvarn,,B2025:9430,14b82fb9-21e6-43c6-b964-383a057e7b14,Byggnad,Haninge,Stockholm,Byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:9430
,,B2025:49544,15102684-1d64-4762-8915-d13f04f434c0,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49544
,,B2025:49910,1545f861-63a5-472b-9ae6-9677f2b0e9b2,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49910
Kulsprutevärn,,B2025:58154,16918f1c-f0f3-42fd-8b5c-daeb44530746,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58154
,,B2025:50107,1717839e-6119-4457-aa5b-01ea6a251711,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50107
,,B2025:49546,17b7a46a-0f57-4825-aa07-a1d81dbef675,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49546
,,B2025:49879,18331665-0956-449e-a7d7-d006a0522cf9,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49879
,,B2025:49536,18f4ac1b-ac03-48eb-9c28-52ca6fd5d52a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49536
,,B2025:49558,190af57d-977d-49c3-9454-32418738c06a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49558
,,B2025:49751,1a48c5d1-0a5a-418b-94c1-455555b0626f,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49751
,,B2025:49540,1a6303c3-6cc4-4fb7-81ef-9515e0c0282f,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49540
Sandhamns fyr,,B2025:25033,1b214cf8-3aad-47c6-a991-7bde6527d752,Anläggning,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:25033
,,B2025:49533,1ca67d99-6b55-4e33-a651-18c69eef5a54,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49533
,,B2025:49882,1d638d0c-f716-4f06-ab49-d2dfe131d009,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49882
,,B2025:49914,1de5b09e-aab4-442b-8acf-733fff5a701c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49914
Granatkastarvärn,,B2025:58193,1dfc255e-4aba-4251-9b32-0adbdd0c8538,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58193
,,B2025:49946,1e411ea1-bb47-46b8-bcf3-e86aed80b9c9,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49946
,,B2025:50024,1e4b0abd-bec5-49cc-ae26-d16bfd40c417,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50024
,,B2025:49527,1e62a7ec-d651-4d45-8133-1415d20e8811,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49527
Seglarstaden,,B2025:50078,1ece2ec5-3d6b-4a72-b1f9-ad8986d80cdc,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50078
Seglarstaden,,B2025:50092,1fa63c1e-6367-4cba-bf8b-5048a57ca862,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50092
,,B2025:49990,1ff95f79-7048-4353-9322-5a358527e377,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49990
,,B2025:49519,20b0ddd3-fd59-4e52-9969-aee09c7d35eb,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49519
,,B2025:50003,20b4f87f-460e-46f4-a80e-d2b7e0d40fa8,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50003
,,B2025:49931,2149ba96-ac6f-4841-9a51-133956b2cf29,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49931
,,B2025:49559,216fe6ee-7d05-482d-8464-db186da8d6fc,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49559
,,B2025:84827,21a0b9c9-ad98-45c0-9d3a-3da1c393f1f2,Område,Norrtälje,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:84827
,,B2025:58152,222afb01-b0d5-495a-946b-d38f3d3681d9,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58152
,,B2025:49810,22c136f4-e481-488f-82bd-0abafe40fb3a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49810
,,B2025:50048,2439d1b4-5b70-496e-a129-a64df64d9c7a,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50048
Seglarstaden,,B2025:50087,246f7b82-094e-4137-9813-097d17f2167d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50087
,,B2025:50056,2481cd6a-a0e2-4271-aef0-968c4affccea,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50056
,,B2025:49900,24b3b7b0-faec-41fd-a47a-e969f33e1e20,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49900
,,B2025:49889,24b3d1d6-37ec-44e7-a6d5-d1eb82aa60a9,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49889
,,B2025:49916,26086ff3-0dff-4d31-824c-b2846e3b402c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49916
,,B2025:49690,264d4f5b-503a-402f-aeea-77e58462828c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49690
,,B2025:49555,26583721-1899-4016-a172-0fd8ba62a49e,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49555
Strindbergsgården,,B2025:49888,26f19191-6844-4bce-83cf-ad02420c6bcb,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49888
,,B2025:49543,283a8f9f-581f-4f88-944f-3ad78f67fdca,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49543
,,B2025:49932,28a1c5c9-cf3f-4930-856c-9e7f43619a29,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49932
,,B2025:49492,2983207d-5ec4-48dc-8e15-b563d5e01e0c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49492
,,B2025:50016,2a1834ff-eb11-4fdb-a01e-1c443a9861bc,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50016
,,B2025:49684,2a6cdbd5-3060-406c-87f1-b129639b87d8,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49684
,,B2025:49696,2a9641aa-f8c7-46bc-8135-b31ec8bd737d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49696
"Landsorts Kapell, klockstapel",,B2025:12466,2a9dd009-f44d-4edf-af60-5307cd3b1758,Anläggning,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:12466
,,B2025:49920,2aa3f798-86a2-49af-a189-eb04c06b4538,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49920
Sandhamns kapell,,B2025:50100,2adb8299-3b18-44c9-ac38-12913844f9e2,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50100
,,B2025:49924,2ba51053-70ff-4aef-a655-8e8c966532af,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49924
,,B2025:49579,2bb22950-f888-4516-8453-a2bfb46bb3cd,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49579
,,B2025:49573,2bbf199d-2565-4238-bcb6-12af72f00e38,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49573
Sjömålspjäs,,B2025:58148,2be71e51-7fab-4491-b289-fb7e32131121,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58148
,,B2025:49973,2c3904b5-6cae-4970-93d3-bd76c21d8d0f,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49973
,,B2025:49898,2cc31841-7bd0-4498-b253-6a6bc478ae0b,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49898
,,B2025:49884,2d3cccbd-e950-4025-810f-7215aedf7acd,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49884
,,B2025:49952,2da33e53-bcfe-497c-94d2-245b5918976e,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49952
,,B2025:49957,2e31c6f1-2520-4bd7-a530-82de25be7a6b,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49957
,,B2025:49923,2e9d941a-293d-4a7c-813b-2c9a6da46716,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49923
,,B2025:58155,2f5aa963-344b-45f7-a264-b0096e514ef8,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58155
,,B2025:49978,2ff49382-e701-4e6a-ab35-7569b8a8e851,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49978
,,B2025:49550,304db2f5-4fdf-4add-b420-68532aaf89c2,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49550
,,B2025:49528,30b6d439-7ab3-4b1b-9b85-753ccd62fb9f,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49528
,,B2025:49896,3148ed96-3b75-4209-87c4-62b3da26ef26,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49896
,,B2025:50061,31798457-4477-4d4b-ae40-b5ce7495ab37,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50061
,,B2025:49572,318f3659-7c3d-4777-9e97-cc35369bfe7c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49572
,,B2025:49812,328308c2-f151-4aef-a773-edc316ebdbcc,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49812
Seglarstaden,,B2025:50086,34190c81-1fb6-4679-96ac-ee5786008b70,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50086
,,B2025:49721,3424550f-b045-4d36-ad49-fd57c65a3d11,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49721
Landsorts fyr,,B2025:25018,34eababc-a7f8-4ea0-ad59-02e0fe12f6c2,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:25018
,,B2025:49581,34f4ff95-54e1-4000-9fea-bc396ec011ac,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49581
,,B2025:58151,35b3caea-7aaf-4961-bbb1-be9b31b603e5,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58151
,,B2025:49547,3634bfd0-6fdb-4ddd-9c4e-96488cac949c,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49547
,,B2025:50057,36fa2c9b-084d-48a5-ab6a-376478228280,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50057
,,B2025:49955,37566de9-3d1b-46b1-a98b-486a1d5c48be,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49955
,,B2025:49565,37d9b7c9-b7e8-4dfe-a497-d612816072c6,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49565
