number,OSM Number,Wikidata Number,label,island,access,drinking_water,note,note:en,operator,operator:wikidata,contact_url,contact_phone,wikimedia_commons,image,image:license,image:license:wikidata,check_date,start_date,osm_notes_nearby,osm_note_ids,osm_note_links,fixme
6,node/822563176,,SAT Svartsö,Svartsö,,,,,,,,,,,,,,,Fungerar detta dricksvatten 2025 https://www.openstreetmap.org/node/822563176,4874294,https://www.openstreetmap.org/note/4874294,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
7,node/863394662,Q134607783,SAT Grinda,Grinda,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/SAT_Grinda_camping_vattenpump.jpg,CC-0,Q6938433,2025-03-23,,,,,saknar operator
8,node/863394827,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/SAT_Grinda_toalett_s%C3%B6dra_bryggan_20250826_03.jpg,CC-0,Q6938433,2025-08-25,,,,,
9,node/863423228,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda, public toilets 863423228",https://upload.wikimedia.org/wikipedia/commons/9/9b/SAT_Grinda_20250825_Batch_20.jpg,CC-0,Q6938433,,,Finns denna eldstad här missade den då jag passerade 20250825 | Finns 2 toaletter Elsa och Pia här 15 år gamla uppgifter,"4930861, 4930857","https://www.openstreetmap.org/note/4930861, https://www.openstreetmap.org/note/4930857",saknar check_date; kolla närliggande OSM Note
10,node/863423239,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_Misse_863423239",https://upload.wikimedia.org/wikipedia/commons/2/2a/SAT_Grinda_20250825_vandring_dokumentera_05.jpg,CC-0,Q6938433,2025-08-25,,,,,
11,node/863423311,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_Sara_863423311",https://upload.wikimedia.org/wikipedia/commons/9/97/SAT_Grinda_toalett_Linn_20250825_02.jpg,CC-0,Q6938433,2025-08-25,,,,,
15,node/1392309442,Q134607564,SAT Rånö,Rånö,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/SAT_R%C3%A5n%C3%B6_vandring_2025_04_09.jpg,CC-0,,2025-08-02,,,,,saknar drinking_water-tag; saknar access; saknar operator
18,node/1401738704,,SAT Finnhamn,Finnhamn,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/SAT_Finnhamn_camp_site_water_02.jpg/1536px-SAT_Finnhamn_camp_site_water_02.jpg,CC-0,,2025-08-10,,,,,saknar operator; saknar länk till Wikidata
20,node/1414776609,,SAT Finnhamn,Finnhamn,,,,,,,,,,,,,,,"Vad är status på denna pump? Jag har tagit kort på dricksvattenpumparna och lagt upp dom på Wikicommons men missat denna

https://commons.wikimedia.org/wiki/Category:SAT_Finnhamn_drinking_water",4720705,https://www.openstreetmap.org/note/4720705,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
21,node/1822980813,Q135443569,SAT Lidö,Lidö,yes,,,,,,,,,,,,,,,,,saknar drinking_water-tag; saknar bild; saknar operator; saknar check_date
22,node/1848869435,,SAT Arholma,Arholma,,,,,,,,,,,,,,,,4872169,https://www.openstreetmap.org/note/4872169,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date
26,node/2495934893,,SAT Sandhamn,Sandön,,yes,,,,,,,Category:Sandhamn_public_toilet_13019730895,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toaletter_Sandhamn_%282%29.jpg/960px-Toaletter_Sandhamn_%282%29.jpg,CC-0,Q6938433,2023-02-13,,,,,saknar access; saknar operator; saknar länk till Wikidata
29,node/2908785488,,SAT Finnhamn,Finnhamn,,,,,,,,,,,,,,,Need to check drinking water access...,4917193,https://www.openstreetmap.org/note/4917193,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
32,node/2942213743,,SAT Landsort,Öja,yes,yes,,,,,,,Category:Landsort_public_toilet_2942213743,https://upload.wikimedia.org/wikipedia/commons/5/5d/Landsort_Norrhamnen_toaletter_sopor.jpg,CC-0,Q6938433q,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
33,node/2943477510,,SAT Fjärdlång,Fjärdlång,yes,unknown,måste bekräftas,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_vattenkran_och_toalett.jpg,CC-0,Q6938433,,,"Kolla status se https://commons.wikimedia.org/wiki/File:SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_vattenkran_och_toalett.jpg

https://commons.wikimedia.org/wiki/Category:Fj%C3%A4rdl%C3%A5ng_public_toilet_2943477509",4718793,https://www.openstreetmap.org/note/4718793,dricksvatten ej testat / unknown; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
38,node/3431736753,Q134605030,SAT Ålö,Ålö,yes,,Drickbart vatten Ta gärna vatten – men slösa inte. Det är ont om färskvatten i hela skärgården.,Drinkable water Please save on water. There is a water scarcity in the archipelago,Skärgårdsstiftelsen,Q10670989,,,Category:Ålö Storsand drinking water,https://upload.wikimedia.org/wikipedia/commons/f/fc/SAT_%C3%85l%C3%B6_vandring_2025_april_55_-_vatten_vid_Storsand.jpg,CC0 1.0,Q6938433,2025-08-06,,,,,saknar drinking_water-tag
41,node/4239095028,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_4239095028",https://upload.wikimedia.org/wikipedia/commons/f/fb/SAT_Grinda_20250825_bes%C3%B6k_03.jpg,CC-0,Q6938433,2025-08-25,,,,,
42,node/4264243637,,SAT Grinda,Grinda,,yes,,,,,,,,,,,,,,,,saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date
48,node/4879006116,Q134987122,SAT Nåttarö,Nåttarö,,no,,,Skärgårdsstiftelsen,,,,Category:Nåttarö_hostel_drinking_water,https://upload.wikimedia.org/wikipedia/commons/2/22/SATN%C3%A5ttar%C3%B6_2025_april_%28222%29_vattenkran.jpg,,,2025-07-31,,,,,saknar access; bild utan licensinfo
50,node/4936508701,Q135230746,SAT Rånö,Rånö,,,,,,,,,,,,,,,Pratade med ansvarig för stugbyn skall finnas pump uppe i skogen,4782421,https://www.openstreetmap.org/note/4782421,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar check_date; kolla närliggande OSM Note
51,node/4936509760,Q135458780,SAT Rånö,Rånö,,yes,,,,,,,Category:Rånö_drinking_water_Rånö_livs,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/R%C3%A5n%C3%B6_20250802_18.jpg/960px-R%C3%A5n%C3%B6_20250802_18.jpg,CC-0,Q6938433,2025-04-02,,,,,saknar access; saknar operator
53,node/4990875342,Q135268016,SAT Arholma,Arholma,yes,yes,,,,,,,Category:Arholma Österhamn dricksvatten,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/SAT_Arholma_20250813_vandring_leden_06.jpg/1536px-SAT_Arholma_20250813_vandring_leden_06.jpg,CC-0,Q6938433,2025-08-13,,,,,saknar operator
54,node/5005120552,,SAT Utö,Utö,customers,yes,,,,,,,,,,,,,"Utö Grillkiosk
Öppet från Midsommar till slutet av Augusti.

opening_hours=Tu-Su 11:00-19:00; Fr,Sa 11:00-19:00+

note=Fredag och lördag är det ofta öppet längre än 19:00.
Ingen fast stängningstid – håller öppet så länge det är folk i rullning.",4879138,https://www.openstreetmap.org/note/4879138,saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
55,node/5006428827,,SAT Utö,Utö,yes,yes,,,,,,,Category:Utö_public_toilets_5006428827,https://upload.wikimedia.org/wikipedia/commons/4/4a/SAT_Ut%C3%B6_2025_maj_Toaletter_Hamnboden_public_toaletts.jpg,CC-0,Q6938433,,,"Utö Grillkiosk
Öppet från Midsommar till slutet av Augusti.

opening_hours=Tu-Su 11:00-19:00; Fr,Sa 11:00-19:00+

note=Fredag och lördag är det ofta öppet längre än 19:00.
Ingen fast stängningstid – håller öppet så länge det är folk i rullning.",4879138,https://www.openstreetmap.org/note/4879138,saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
56,node/5013691335,,SAT Ornö,Ornö,yes,,,,,,,,,,,,,,Node https://www.openstreetmap.org/node/5013691335,4704932,https://www.openstreetmap.org/note/4704932,saknar drinking_water-tag; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date; kolla närliggande OSM Note
62,node/5630510921,Q134704553,SAT Finnhamn,Finnhamn,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/SAL_Finnhamn_stugbyn_vattenpump_01.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_01.jpg,,,2025-04-18,,,,,bild utan licensinfo; saknar operator
63,node/5728811330,Q134985579,SAT Ålö,Ålö,yes,yes,Drickbart vatten Ta gärna vatten – men slösa inte. Det är ont om färskvatten i hela skärgården.,Drinkable water Please save on water. There is a water scarcity in the archipelago,Skärgårdsstiftelsen,Q10670989,,,Category:Ålö_ferry_stop_drinking_water,https://upload.wikimedia.org/wikipedia/commons/0/09/SAT_%C3%85l%C3%B6_vandring_2025_april_05_vattenpump.jpg,CC-0,Q6938433,2025-08-04,,,,,
64,node/5734098673,,SAT Sandhamn,Sandön,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Fl%C3%A4skberget_AED.jpg/2560px-Fl%C3%A4skberget_AED.jpg,CC-0,,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
68,node/5745003240,Q135267999,SAT Arholma,Arholma,yes,yes,Vattnet verkar ha mycket järn och ej testat,The water seems to have a lot of iron and has not been tested,Skärgårdsstiftelsen,Q10670989,,,Category:Arholma_camping_dricksvatten,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Arholma_SAT_20250813_18_dricksvattenpump.jpg/1536px-Arholma_SAT_20250813_18_dricksvattenpump.jpg,,,2025-08-13,,,,,bild utan licensinfo
69,node/5798509123,Q134985660,SAT Rånö,Rånö,,yes,,,,,,,Category:Rånö_drinking_water_camp_site,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SAT_R%C3%A5n%C3%B6_vattenpump_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_vattenpump_vid_t%C3%A4ltplatsen.jpg,CC-0,Q6938433,2025-04-02,,,,,saknar access; saknar operator
73,node/6535493386,,SAT Finnhamn,Finnhamn,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/SAL_Finnhamn_stugbyn_vattenpump_2.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_2.jpg,,,2025-04-18,,,,,bild utan licensinfo; saknar operator; saknar länk till Wikidata
96,node/8880718355,,SAT Grinda,Grinda,,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Grinda_20250825_vandring_02.jpg/3024px-Grinda_20250825_vandring_02.jpg,CC-0,Q6938433,,,,,,saknar access; saknar operator; saknar länk till Wikidata; saknar check_date
97,node/8880718357,,SAT Grinda,Grinda,,yes,,,,,,,,,,,,,,,,saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date
99,node/9141418273,,SAT Utö,Utö,,yes,,,,,,,,,,,,,,,,saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date
103,node/9907275660,,SAT Landsort,Öja,yes,yes,,,,,,,Category:Landsort_public_toilet_9907275660,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/V%C3%A4strahamnen_toaletter_2025_juni.jpg/2560px-V%C3%A4strahamnen_toaletter_2025_juni.jpg,CC-0,Q6938433,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
105,node/9936118752,,SAT Finnhamn,Finnhamn,yes,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Finnhamn_Idholmen_vattenkran_stugbyn_-_avst%C3%A4ngd.jpg/500px-SAT_Finnhamn_Idholmen_vattenkran_stugbyn_-_avst%C3%A4ngd.jpg,,,2025-04-19,,"Needs to be confirmed working 

Its not on the Finnhamn map https://commons.wikimedia.org/wiki/File:Finnhams_karta.jpg",4716882,https://www.openstreetmap.org/note/4716882,bild utan licensinfo; saknar operator; saknar länk till Wikidata; kolla närliggande OSM Note
110,node/10948911479,Q134985757,SAT Landsort,Öja,yes,yes,,,,,,,Category:Landsort_drinking_water_western_harborn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/SAT_Landsort_52.jpg/1536px-SAT_Landsort_52.jpg,CC-0,,2025-03-20,,,,,saknar operator
114,node/11066973234,Q135434981,SAT Möja,Möja,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/SAT_M%C3%B6ja_vandring_2025_april_04_Vatten_att_k%C3%B6pa.jpg/500px-SAT_M%C3%B6ja_vandring_2025_april_04_Vatten_att_k%C3%B6pa.jpg,CC-0,,2025-04-03,,,,,saknar drinking_water-tag; saknar access; saknar operator
115,node/11079164849,,SAT Ornö,Ornö,,,,,,,,,,,,,,,,,,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata; saknar check_date
128,node/12090393146,Q134717347,SAT Finnhamn,Finnhamn,yes,yes,,,,,,,Category:Finnhamn_grocery_store_drinking_water,https://upload.wikimedia.org/wikipedia/commons/d/dc/SAT_Finnhamn_vattenkran.jpg,CC-0,CC-0,2025-04-19,,,,,saknar operator
132,node/12722707517,,SAT Rånö,Rånö,,,,,,,,,,,,,2025-04-02,,,,,saknar drinking_water-tag; saknar access; saknar bild; saknar operator; saknar länk till Wikidata
133,node/12738887790,,SAT Ålö,Ålö,private,yes,privat pump ibland med en skylt att det är ok att ta vatten,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/84/SAT_%C3%85l%C3%B6_vandring_2025_april_83_vattenpump_troligen_privat.jpg,CC-0,Q6938433,2025-04-05,,,,,saknar operator; saknar länk till Wikidata
134,node/12738887792,,SAT Utö,Utö,,unspecified,Pump tveksamt om vattnet är testat,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/SAT_Ut%C3%B6_2025_april_101.jpg,CC-0,Q6938433,2025-04-08,,,,,saknar access; saknar operator; saknar länk till Wikidata
135,node/12738920397,,SAT Utö,Utö,,no,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9e/SAT_Ut%C3%B6_2025_april_124.jpg,CC-0,,2025-04-08,,,,,saknar access; saknar operator; saknar länk till Wikidata
138,node/12869950725,Q134691316,SAT Nåttarö,Nåttarö,,yes,,,Nåttarö gård och resort,Q134691316,,,Category:Nåttarö_drinking_water,https://upload.wikimedia.org/wikipedia/commons/4/4b/SATN%C3%A5ttar%C3%B6_2025_april_dricksvatten_%282%29.jpg,CC0 1.0,Q10670989,2025-04-23,,,,,saknar access
143,node/12942415533,Q135011579,SAT Landsort,Öja,official,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/%C3%96ja_campingplats_dricksvatten_01.jpg,CC-0,,2025-06-21,,"Bra om någon kan bekräfta tältplatsen
drinking_water=yes
toilets=yes
shower=no",4869196,https://www.openstreetmap.org/note/4869196,saknar operator; kolla närliggande OSM Note
144,node/12945087542,Q134986918,SAT Landsort,Öja,,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/North_harbor_drinking_water_Landsort.jpg,CC-0,,,,,,,saknar access; saknar operator; saknar check_date
151,node/13030994018,,SAT Lidö,Lidö,private,unknown,"Vattenkran utanför Lidö Värdshus, avstängd i april 2025. Dricksvattenstatus ej verifierad",,Lidö Värdshus,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/SAT_Lid%C3%B6_%28170%29.jpg,CC-0,,2025-04,,,,,dricksvatten ej testat / unknown; saknar länk till Wikidata
152,node/13041364818,,SAT Nåttarö,Nåttarö,yes,yes,,,,,,,Category:Nåttarö_toilet_13041364818,https://upload.wikimedia.org/wikipedia/commons/9/91/SATN%C3%A5ttar%C3%B6_2025_april_%28248%29_toalett_tv%C3%A4ttst%C3%A4ll.jpg,CC-0,Q6938433,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
153,node/13041911527,,SAT Landsort,Öja,yes,yes,,,,,,,Category:Landsort_public_toilet_9907275660,https://upload.wikimedia.org/wikipedia/commons/8/8a/Landsort_sj%C3%B6fartsverket_mappilary_%28cropped%29.jpg,CC-0,Q6938433,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
155,node/13052360067,,SAT Utö,Utö,unknown,conditional,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/SAT_Ut%C3%B6_2025_april_99.jpg,CC-0,Q6938433,2025-08-06,,,,,saknar operator; saknar länk till Wikidata
157,node/13064822373,,SAT Ingmarsö,Ingmarsö,permissive,yes,,,,,,,Category:Ingmarsö_drinking_water,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg/960px-Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg,CC-0,,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
158,node/13072501851,Q134667339,SAT Arholma,Arholma,customers,yes,,,Arholma Dansbana,Q134667339,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Arholma_20250816_02.jpg/2560px-Arholma_20250816_02.jpg,CC-0,Q6938433,,,,,,saknar check_date
161,node/13096050076,,SAT Grinda,Grinda,,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/SAT_Grinda_20250825_visit_Batch_5.jpg/1536px-SAT_Grinda_20250825_visit_Batch_5.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar access; saknar operator; saknar länk till Wikidata
162,node/13096093701,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/SAT_Grinda_20250825_Visit_batch_6.jpg/3024px-SAT_Grinda_20250825_Visit_batch_6.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar drinking_water-tag; saknar access
163,node/13096119643,Q10670989,SAT Grinda,Grinda,,yes,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SAT_Grinda_20250825_Batch_5.jpg/3024px-SAT_Grinda_20250825_Batch_5.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar access
164,node/13098060270,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda, public toilets Cissi 13098060270",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/SAT_Grinda_20250825_vandring_dokumentera_11.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_11.jpg,CC-0,Q6938433,2025-08-25,,,,,
165,node/13098083627,,SAT Grinda,Grinda,customers,yes,,,,,,,"Category:Grinda,_public_toilets_Grinda_Wärdshus",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Grinda_20250825_vandring_03.jpg/3024px-Grinda_20250825_vandring_03.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar operator; saknar länk till Wikidata
166,node/13098115083,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_13098115083",https://upload.wikimedia.org/wikipedia/commons/4/4d/SAT_Grinda_20250825_Batch_4.jpg,CC-0,Q6938433,,,,,,saknar check_date
167,node/13100103357,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/SAT_Grinda_toalett_Linn_20250825_02.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar drinking_water-tag; saknar access
168,node/13100145836,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_4239095028",https://upload.wikimedia.org/wikipedia/commons/f/fb/SAT_Grinda_20250825_bes%C3%B6k_03.jpg,CC-0,Q6938433,2025-08-25,,,,,
169,node/13100147504,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/SAT_Grinda_20250825_Visit_batch_9.jpg/3024px-SAT_Grinda_20250825_Visit_batch_9.jpg,CC-0,Q6938433,,,,,,saknar drinking_water-tag; saknar access; saknar check_date
170,way/427182337,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_Lena_427182337",https://upload.wikimedia.org/wikipedia/commons/e/e4/SAT_Grinda_Linn_20250825_01.jpg,CC-0,Q6938433,2025-08-25,,,,,
173,way/940431496,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_940431496",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/SAT_Grinda_20250825_Batch_7.jpg/3024px-SAT_Grinda_20250825_Batch_7.jpg,CC-0,Q6938433,2025-08-25,,,,,
174,way/1424973417,,SAT Grinda,Grinda,yes,yes,,,,,,,"Category:Grinda,_public_toilets_Cissi_13098060270",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/SAT_Grinda_20250825_vandring_dokumentera_11.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_11.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar operator; saknar länk till Wikidata
